ParagraphRange,Text
1-3,"1 The first duty prescribed by God for His servants is the recognition of Him Who is the Dayspring of His Revelation and the Fountain of His laws, Who representeth the Godhead in both the Kingdom of His Cause and the world of creation. Whoso achieveth this duty hath attained unto all good; and whoso is deprived thereof hath gone astray, though he be the author of every righteous deed. It behoveth every one who reacheth this most sublime station, this summit of transcendent glory, to observe every ordinance of Him Who is the Desire of the world. These twin duties are inseparable. Neither is acceptable without the other. Thus hath it been decreed by Him Who is the Source of Divine inspiration. They whom God hath endued with insight will readily recognize that the precepts laid down by God constitute the highest means for the maintenance of order in the world and the security of its peoples. He that turneth away from them is accounted among the abject and foolish. We, verily, have commanded you to refuse the dictates of your evil passions and corrupt desires, and not to transgress the bounds which the Pen of the Most High hath fixed, for these are the breath of life unto all created things. The seas of Divine wisdom and Divine utterance have risen under the breath of the breeze of the All-Merciful. Hasten to drink your fill, O men of understanding! They that have violated the Covenant of God by breaking His commandments, and have turned back on their heels, these have erred grievously in the sight of God, the All-Possessing, the Most High. O ye peoples of the world! Know assuredly that My commandments are the lamps of My loving providence among My servants, and the keys of My mercy for My creatures. Thus hath it been sent down from the heaven of the Will of your Lord, the Lord of Revelation. Were any man to taste the sweetness of the words which the lips of the All-Merciful have willed to utter, he would, though the treasures of the earth be in his possession, renounce them one and all, that he might vindicate the truth of even one of His commandments, shining above the Dayspring of His bountiful care and loving-kindness."
2-4,"They whom God hath endued with insight will readily recognize that the precepts laid down by God constitute the highest means for the maintenance of order in the world and the security of its peoples. He that turneth away from them is accounted among the abject and foolish. We, verily, have commanded you to refuse the dictates of your evil passions and corrupt desires, and not to transgress the bounds which the Pen of the Most High hath fixed, for these are the breath of life unto all created things. The seas of Divine wisdom and Divine utterance have risen under the breath of the breeze of the All-Merciful. Hasten to drink your fill, O men of understanding! They that have violated the Covenant of God by breaking His commandments, and have turned back on their heels, these have erred grievously in the sight of God, the All-Possessing, the Most High. O ye peoples of the world! Know assuredly that My commandments are the lamps of My loving providence among My servants, and the keys of My mercy for My creatures. Thus hath it been sent down from the heaven of the Will of your Lord, the Lord of Revelation. Were any man to taste the sweetness of the words which the lips of the All-Merciful have willed to utter, he would, though the treasures of the earth be in his possession, renounce them one and all, that he might vindicate the truth of even one of His commandments, shining above the Dayspring of His bountiful care and loving-kindness. Say: From My laws the sweet-smelling savour of My garment can be smelled, and by their aid the standards of Victory will be planted upon the highest peaks. The Tongue of My power hath, from the heaven of My omnipotent glory, addressed to My creation these words: ""Observe My commandments, for the love of My beauty."" Happy is the lover that hath inhaled the divine fragrance of his Best-Beloved from these words, laden with the perfume of a grace which no tongue can describe. By My life! He who hath drunk the choice wine of fairness from the hands of My bountiful favour will circle around My commandments that shine above the Dayspring of My creation."
3-5,"O ye peoples of the world! Know assuredly that My commandments are the lamps of My loving providence among My servants, and the keys of My mercy for My creatures. Thus hath it been sent down from the heaven of the Will of your Lord, the Lord of Revelation. Were any man to taste the sweetness of the words which the lips of the All-Merciful have willed to utter, he would, though the treasures of the earth be in his possession, renounce them one and all, that he might vindicate the truth of even one of His commandments, shining above the Dayspring of His bountiful care and loving-kindness. Say: From My laws the sweet-smelling savour of My garment can be smelled, and by their aid the standards of Victory will be planted upon the highest peaks. The Tongue of My power hath, from the heaven of My omnipotent glory, addressed to My creation these words: ""Observe My commandments, for the love of My beauty."" Happy is the lover that hath inhaled the divine fragrance of his Best-Beloved from these words, laden with the perfume of a grace which no tongue can describe. By My life! He who hath drunk the choice wine of fairness from the hands of My bountiful favour will circle around My commandments that shine above the Dayspring of My creation. Think not that We have revealed unto you a mere code of laws. Nay, rather, We have unsealed the choice Wine with the fingers of might and power. To this beareth witness that which the Pen of Revelation hath revealed. Meditate upon this, O men of insight!"
4-6,"Say: From My laws the sweet-smelling savour of My garment can be smelled, and by their aid the standards of Victory will be planted upon the highest peaks. The Tongue of My power hath, from the heaven of My omnipotent glory, addressed to My creation these words: ""Observe My commandments, for the love of My beauty."" Happy is the lover that hath inhaled the divine fragrance of his Best-Beloved from these words, laden with the perfume of a grace which no tongue can describe. By My life! He who hath drunk the choice wine of fairness from the hands of My bountiful favour will circle around My commandments that shine above the Dayspring of My creation. Think not that We have revealed unto you a mere code of laws. Nay, rather, We have unsealed the choice Wine with the fingers of might and power. To this beareth witness that which the Pen of Revelation hath revealed. Meditate upon this, O men of insight! We have enjoined obligatory prayer upon you, with nine rak’áhs, to be offered at noon and in the morning and the evening unto God, the Revealer of Verses. We have relieved you of a greater number, as a command in the Book of God. He, verily, is the Ordainer, the Omnipotent, the Unrestrained. When ye desire to perform this prayer, turn ye towards the Court of My Most Holy Presence, this Hallowed Spot that God hath made the Centre round which circle the Concourse on High, and which He hath decreed to be the Point of Adoration for the denizens of the Cities of Eternity, and the Source of Command unto all that are in heaven and on earth; and when the Sun of Truth and Utterance shall set, turn your faces towards the Spot that We have ordained for you. He, verily, is Almighty and Omniscient."
5-7,"Think not that We have revealed unto you a mere code of laws. Nay, rather, We have unsealed the choice Wine with the fingers of might and power. To this beareth witness that which the Pen of Revelation hath revealed. Meditate upon this, O men of insight! We have enjoined obligatory prayer upon you, with nine rak’áhs, to be offered at noon and in the morning and the evening unto God, the Revealer of Verses. We have relieved you of a greater number, as a command in the Book of God. He, verily, is the Ordainer, the Omnipotent, the Unrestrained. When ye desire to perform this prayer, turn ye towards the Court of My Most Holy Presence, this Hallowed Spot that God hath made the Centre round which circle the Concourse on High, and which He hath decreed to be the Point of Adoration for the denizens of the Cities of Eternity, and the Source of Command unto all that are in heaven and on earth; and when the Sun of Truth and Utterance shall set, turn your faces towards the Spot that We have ordained for you. He, verily, is Almighty and Omniscient. Everything that is hath come to be through His irresistible decree. Whenever My laws appear like the sun in the heaven of Mine utterance, they must be faithfully obeyed by all, though My decree be such as to cause the heaven of every religion to be cleft asunder. He doeth what He pleaseth. He chooseth, and none may question His choice. Whatsoever He, the Well-Beloved, ordaineth, the same is, verily, beloved. To this He Who is the Lord of all creation beareth Me witness. Whoso hath inhaled the sweet fragrance of the All-Merciful, and recognized the Source of this utterance, will welcome with his own eyes the shafts of the enemy, that he may establish the truth of the laws of God amongst men. Well is it with him that hath turned thereunto, and apprehended the meaning of His decisive decree."
6-8,"We have enjoined obligatory prayer upon you, with nine rak’áhs, to be offered at noon and in the morning and the evening unto God, the Revealer of Verses. We have relieved you of a greater number, as a command in the Book of God. He, verily, is the Ordainer, the Omnipotent, the Unrestrained. When ye desire to perform this prayer, turn ye towards the Court of My Most Holy Presence, this Hallowed Spot that God hath made the Centre round which circle the Concourse on High, and which He hath decreed to be the Point of Adoration for the denizens of the Cities of Eternity, and the Source of Command unto all that are in heaven and on earth; and when the Sun of Truth and Utterance shall set, turn your faces towards the Spot that We have ordained for you. He, verily, is Almighty and Omniscient. Everything that is hath come to be through His irresistible decree. Whenever My laws appear like the sun in the heaven of Mine utterance, they must be faithfully obeyed by all, though My decree be such as to cause the heaven of every religion to be cleft asunder. He doeth what He pleaseth. He chooseth, and none may question His choice. Whatsoever He, the Well-Beloved, ordaineth, the same is, verily, beloved. To this He Who is the Lord of all creation beareth Me witness. Whoso hath inhaled the sweet fragrance of the All-Merciful, and recognized the Source of this utterance, will welcome with his own eyes the shafts of the enemy, that he may establish the truth of the laws of God amongst men. Well is it with him that hath turned thereunto, and apprehended the meaning of His decisive decree. We have set forth the details of obligatory prayer in another Tablet. Blessed is he who observeth that whereunto he hath been bidden by Him Who ruleth over all mankind. In the Prayer for the Dead six specific passages have been sent down by God, the Revealer of Verses. Let one who is able to read recite that which hath been revealed to precede these passages; and as for him who is unable, God hath relieved him of this requirement. He, of a truth, is the Mighty, the Pardoner."
7-9,"Everything that is hath come to be through His irresistible decree. Whenever My laws appear like the sun in the heaven of Mine utterance, they must be faithfully obeyed by all, though My decree be such as to cause the heaven of every religion to be cleft asunder. He doeth what He pleaseth. He chooseth, and none may question His choice. Whatsoever He, the Well-Beloved, ordaineth, the same is, verily, beloved. To this He Who is the Lord of all creation beareth Me witness. Whoso hath inhaled the sweet fragrance of the All-Merciful, and recognized the Source of this utterance, will welcome with his own eyes the shafts of the enemy, that he may establish the truth of the laws of God amongst men. Well is it with him that hath turned thereunto, and apprehended the meaning of His decisive decree. We have set forth the details of obligatory prayer in another Tablet. Blessed is he who observeth that whereunto he hath been bidden by Him Who ruleth over all mankind. In the Prayer for the Dead six specific passages have been sent down by God, the Revealer of Verses. Let one who is able to read recite that which hath been revealed to precede these passages; and as for him who is unable, God hath relieved him of this requirement. He, of a truth, is the Mighty, the Pardoner. Hair doth not invalidate your prayer, nor aught from which the spirit hath departed, such as bones and the like. Ye are free to wear the fur of the sable as ye would that of the beaver, the squirrel, and other animals; the prohibition of its use hath stemmed, not from the Qur’án, but from the misconceptions of the divines. He, verily, is the All-Glorious, the All-Knowing."
8-10,"We have set forth the details of obligatory prayer in another Tablet. Blessed is he who observeth that whereunto he hath been bidden by Him Who ruleth over all mankind. In the Prayer for the Dead six specific passages have been sent down by God, the Revealer of Verses. Let one who is able to read recite that which hath been revealed to precede these passages; and as for him who is unable, God hath relieved him of this requirement. He, of a truth, is the Mighty, the Pardoner. Hair doth not invalidate your prayer, nor aught from which the spirit hath departed, such as bones and the like. Ye are free to wear the fur of the sable as ye would that of the beaver, the squirrel, and other animals; the prohibition of its use hath stemmed, not from the Qur’án, but from the misconceptions of the divines. He, verily, is the All-Glorious, the All-Knowing. We have commanded you to pray and fast from the beginning of maturity; this is ordained by God, your Lord and the Lord of your forefathers. He hath exempted from this those who are weak from illness or age, as a bounty from His Presence, and He is the Forgiving, the Generous. God hath granted you leave to prostrate yourselves on any surface that is clean, for We have removed in this regard the limitation that had been laid down in the Book; God, indeed, hath knowledge of that whereof ye know naught. Let him that findeth no water for ablution repeat five times the words ""In the Name of God, the Most Pure, the Most Pure"", and then proceed to his devotions. Such is the command of the Lord of all worlds. In regions where the days and nights grow long, let times of prayer be gauged by clocks and other instruments that mark the passage of the hours. He, verily, is the Expounder, the Wise."
9-11,"Hair doth not invalidate your prayer, nor aught from which the spirit hath departed, such as bones and the like. Ye are free to wear the fur of the sable as ye would that of the beaver, the squirrel, and other animals; the prohibition of its use hath stemmed, not from the Qur’án, but from the misconceptions of the divines. He, verily, is the All-Glorious, the All-Knowing. We have commanded you to pray and fast from the beginning of maturity; this is ordained by God, your Lord and the Lord of your forefathers. He hath exempted from this those who are weak from illness or age, as a bounty from His Presence, and He is the Forgiving, the Generous. God hath granted you leave to prostrate yourselves on any surface that is clean, for We have removed in this regard the limitation that had been laid down in the Book; God, indeed, hath knowledge of that whereof ye know naught. Let him that findeth no water for ablution repeat five times the words ""In the Name of God, the Most Pure, the Most Pure"", and then proceed to his devotions. Such is the command of the Lord of all worlds. In regions where the days and nights grow long, let times of prayer be gauged by clocks and other instruments that mark the passage of the hours. He, verily, is the Expounder, the Wise. We have absolved you from the requirement of performing the Prayer of the Signs. On the appearance of fearful natural events call ye to mind the might and majesty of your Lord, He Who heareth and seeth all, and say ""Dominion is God’s, the Lord of the seen and the unseen, the Lord of creation""."
10-12,"We have commanded you to pray and fast from the beginning of maturity; this is ordained by God, your Lord and the Lord of your forefathers. He hath exempted from this those who are weak from illness or age, as a bounty from His Presence, and He is the Forgiving, the Generous. God hath granted you leave to prostrate yourselves on any surface that is clean, for We have removed in this regard the limitation that had been laid down in the Book; God, indeed, hath knowledge of that whereof ye know naught. Let him that findeth no water for ablution repeat five times the words ""In the Name of God, the Most Pure, the Most Pure"", and then proceed to his devotions. Such is the command of the Lord of all worlds. In regions where the days and nights grow long, let times of prayer be gauged by clocks and other instruments that mark the passage of the hours. He, verily, is the Expounder, the Wise. We have absolved you from the requirement of performing the Prayer of the Signs. On the appearance of fearful natural events call ye to mind the might and majesty of your Lord, He Who heareth and seeth all, and say ""Dominion is God’s, the Lord of the seen and the unseen, the Lord of creation"". It hath been ordained that obligatory prayer is to be performed by each of you individually. Save in the Prayer for the Dead, the practice of congregational prayer hath been annulled. He, of a truth, is the Ordainer, the All-Wise."
