Chapter,Paragraph,Text
1,1,"Om! Homage to the Triple Treasure! Homage to all the Buddhas and Bodhisattvas!Thus have I heard. The Bhagavan once stayed in the Castle of Lanka, which is situated onthe peak of Mount Malaya on the great ocean, and which is adorned with flowers made ofjewels of various kinds. He was with a large assembly of Bhikshus(monks) and with agreat multitude of Bodhisattvas, who had come together from various Buddha-lands. TheBodhisattva-Mahasattvas, headed by the Bodhisattva Maha-mati(Great Wisdom), wereall perfect masters of the various Samadhis, the [tenfold] self-mastery, the [ten] powers,and the [six] psychic faculties; they were anointed by the hands of all the Buddhas; theyall well understood the significance of the objective world as the manifestation of theirown Heart; they knew how to maintain [various] forms, teachings, and disciplinarymeasures, according to the various mentalities and behaviours of beings; they werethoroughly versed in the five Dharmas, the [three] Svabhavas, the [eight]Vijnanas(consciousness), and the twofold non-Self.At that time, the Bhagavan, who had been preaching in the palace of the Great OceanicDragon King, came out at the expiration of seven days and was greeted by aninnumerable host of heavenly beings including Sakra, Brahma, and dragon kings.Looking at Lanka on Mount Malaya, the Bhagavan smiled and said, ""By the Tathagatasof the past, who were Arhats and Fully-Enlightened Ones, this Truth was made thesubject of their discourse, at that castle of Lanka on the mountain-peak of Malaya, -- theTruth realizable by noble wisdom in one's inmost self, which is beyond the reasoningknowledge of the philosophers as well as the state of consciousness of theSravakas(Voice-hearers) and Pratyekabuddhas(Conditional-Awakeners). I, too, wouldnow for the sake of Ravana, Overlord of the Yakshas, discourse on this Truth.""[Inspired] by the sacrosanct power of the Tathagata, Ravana, Lord of the Rakshasas,heard the Buddha's voice. Indeed, the Bhagavan, surrounded and accompanied by an innumerable host of Sakra, Brahma, Guardian Gods, and heavenly dragons, came out of thepalace of the Great Oceanic Dragon King; and looking at the waves of the ocean and alsoat the mental agitations going on in those assembled, [he thought of] the ocean of theAlaya-consciousness (Alaya-vijnana) where the evolving Vijanas [like the waves] arestirred by the wind of objectivity. While he was standing there [thus absorbed incontemplation, Ravana saw him and] uttered a joyous cry, saying: ""I will go and requestof the Buddha to enter into Lanka; for the long night [of transmigrations) he wouldprobably profit, do good, and gladden the gods as well as human beings."""
1,2,"Thereupon, Ravana, Lord of the Rakshasas, with his attendants, riding in his floralcelestial chariot, came up where the Buddha was, and having arrived there he and hisattendants came out of the chariot. Walking around the Buddha three times from left toright, they played on a musical instrument, beating it with a stick of blue Indra (saphire),and hanging the lute at one side, which was inlaid with the choicest lapis lazuli andsupported by [a ribbon of] priceless cloth, yellowish-white like jewels, they sang withvarious notes such as Saharshya, Rishabha, Gandhara, Dhaivata, Nishada. Madyama, andKaisika, which were melodiously modulated in Grama, Murchana, etc.; the voice inaccompaniment with the flute beautifully blended with the measure of the Gatha (verses):""The truth-treasure whose principle is the self-nature of Mind, has no selfhood(nairatmyam), stands above all reasoning, and is free from impurities; it points to theknowledge attained in one's inmost self; Lord, show me here the way leading to theTruth.2. ""The Sugata is the body in whom are stored immaculate virtues; in him are manifested[bodies] trans-forming and transformed; he enjoys the Truth realised in his inmost self;may he visit Lanka. Now is the time, Muni!3. ""This Lanka was inhabited by the Buddhas of the past, and [they were] accompaniedby their sons who were owners of many forms. Lord, show me now the highest Truth,and the Yakshas who are endowed with many forms will listen.¡±Thereupon, Ravana, the Lord of Lanka, further adapting the Totaka rhythm sang this inthe measure of the Gatha.4. After seven nights, the Bhagavan leaving the ocean which is the abode of the Makara,the palace of the sea-king, now stands on the shore.5. Just as the Buddha rises, Ravana, accompanied by the Apsaras and Yakshas numerous,by Suka, Sarana, and learned men,6. Miraculously goes over to the place where the Lord is standing. Alighting from thefloral vehicle, he greets the Tathagata reverentially, makes him offerings, tells him whohe is, and stands by the Lord.7. ""I who have come here, am called Ravana, the ten-headed king of the Rakshasas,mayest thou graciously receive me with Lanka and all its residents.8. ""In this city, the inmost state of consciousness realised, indeed, by the EnlightenedOnes of the past was disclosed on this peak studded with precious stones.9. ""Let the Bhagavan, too. surrounded by sons of the Victorious One, now disclose theTruth immaculate on this peak embellished with precious stones; we, together with theresidents of Lanka, desire to listen."
1,3,"10. ""The Lankavatara Sutra which is praised by the Buddhas of the past [discloses] theinmost state of consciousness realized by them, which is not founded on any system ofdoctrine.11. ""I recollect the Buddhas of the past surrounded by sons of the Victorious One recitethis Sutra; the Bhagavan, too, will speak.12. ""In the time to come, there will be Buddhas and Buddha-Sons pitying the Yakshas;the Leaders will discourse on this magnificent doctrine on the peak adorned with preciousstones.13. ""This magnificent city of Lanka is adorned with varieties of precious stones,[surrounded] by peaks, refreshing and beautiful and canopied by a net of jewels.14. ""Bhagavan, here are the Yakshas who are free from faults of greed, reflecting on [theTruth] realized in one's inmost self and making offerings to the Buddhas of the past; theyare believers in the teaching of the Mahayana and intent on disciplining one another.15. ""There are younger Yakshas, girls and boys, desiring to know the Mahayana. Come,Bhagavan, who art our Teacher, come to Lanka on Mount Malaya.16. ""The Rakshasas, with Kumbhakara at their head, who are residing in the city, wish, asthey are devoted to the Mahayana, to hear about this inmost realization.17. ""They have made offerings assiduously to the Buddhas in the past and are to-daygoing to do the same. Come, for compassion's sake, to the Lanka, together with [thy]sons.18. ""Mahamati, accept my mansion, the company of the Apsaras, necklaces of varioussorts, and the delightful Asoka garden.19. ""I give myself up to serve the Buddhas and their sons; there is nothing with me that Ido not give up [for their sake]; Great Muni, have compassion on me!¡±20. Hearing him speak thus, the Lord of the Triple World said, ""King of Yakshas, thismountain of precious stones was visited by the Leaders in the past.21. ""And, taking pity on you, they discoursed on the Truth revealed in their inmost[consciousness]. [The Buddhas of] the future time will proclaim [the same] on this jeweladorned mountain.22. ""This [inmost Truth] is the abode of those Yogins who stand in the presence of theTruth. King of the Yakshas, you have the compassion of the Sugatas and myself.""23. The Bhagavan accepting the request [of the King] remained silent and undisturbed; henow mounted the floral chariot offered by Ravana."
1,4,"24. Thus Ravana and others, wise sons of the Victorious One, honoured by the Apsarassinging and dancing, reached the city.25. Arriving in the delightful city [the Buddha was] again the recipient of honours; hewas honoured by the group of Yakshas including Ravana and by the Yaksha women.26. A net of jewels was offered to the Buddha by the younger Yakshas, girls and boys,and necklaces beautifully ornamented with jewels were placed by Ravana about the neckof the Buddha and those of the sons of the Buddha.27. The Buddhas together with the sons of the Buddha and the wise men, accepting theofferings, discoursed on the Truth which is the state of consciousness realised in theinmost self.28. Honouring [him as] the best speaker, Ravana and the company of the Yakshashonoured Mahamati and requested of him again and again:129. ""Thou art the asker of the Buddha concerning the state of consciousness realized intheir inmost selves, of which we here, Yakshas as well as the sons of the Buddha, aredesirous of hearing. I, together with the Yakshas, the sons of the Buddha, and the wisemen, request this of thee.30. ""Thou art the most eloquent of speakers, and the most strenuous of the Yogins; withfaith I beg of thee. Ask [the Buddha] about the doctrine, O thou the proficient one!31. ""Free from the faults of the philosophers and Pratyeka-buddhas and Sravakas is theTruth of the inmost consciousness, immaculate and culminating in the stage ofBuddhahood.""32. Thereupon the Bhagavan created jewel-adorned mountains and other objectsmagnificently embellished with jewels in an immense number.33. On the summit of each mountain the Buddha himself was visible, and Ravana, theYaksha, also was found standing there.34. Thus the entire assembly was seen on each mountain-peak, and all the countries Werethere, and in each there was a Leader.35. Here also was the King of the Rakshasas and the residents of Lanka, and the Lankacreated by the Buddha rivaling [the real one].36. Other things were there, too, -- the Asoka with its shining woods, and on eachmountain-peak Mahamati was making a request of the Buddha,"
1,5,"37. Who discoursed for the sake of the Yakshas on the Truth leading to the inmostrealization; on the mountain-peak he delivered a complete sutra with an exquisite voicevaried in hundreds of thousands of ways.38. [After this] the teacher and the sons of the Buddha vanished away in the air, leavingRavana the Yaksha himself standing [above] in his mansion.39. Thought he, ""How is this? What means this? and by whom was it heard? What was itthat was seen? and by whom was it seen? Where is the city? and where is the Buddha?40. ""Where are those countries, those jewel-shining Buddhas, those Sugatas? Is it adream then? or a vision? or is it a castle conjured up by the Gandharvas?41. ""Or is it dust in the eye, or a fata morgana, or the dream-child of a barren woman, orthe smoke of a fire-wheel, that which I saw here?¡±42. Then [Ravana reflected], ""This is the nature as it is (dharmata) of all things, whichbelongs to the realm of Mind, and it is not comprehended by the ignorant as they areconfused by every form of imagination.43. ""There is neither the seer nor the seen, neither the speaker nor the spoken; the formand usage of the Buddha and his Dharma -- they are nothing but discrimination.44. ""Those who see things such as were seen before, do not see the Buddha; [even] whendiscrimination is not aroused, one does not see1 the Buddha; the Buddha being fullyenlightened is seen where the world itself is not evolved.The Lord of Lanka was then immediately awakened [from his reflection], feeling arevulsion (paravriti) in his Heart and realizing that the world was nothing but his ownHeart: he was settled in the realm of non-discrimination, was urged by the stock of hispast good deeds, acquired the cleverness of understanding all the texts, obtained thefaculty of seeing things as they are, was no more dependent upon others, observed thingsexcellently with his own wisdom (buddhi), gained the insight that was not of discursivereasoning, was no more dependent upon others, became a great Yogin of the discipline,was able to manifest himself in all excellent forms, got thoroughly acquainted with allskilful means, had the knowledge of the characteristic aspects of every stage, by which hewould surmount it skillfully, was delighted to look into3 the self-nature of Citta, Manas,Manovijnana, got a view whereby he could cut himself loose from the triple continuation,had the knowledge of disposing of every argument of the philosophers on causation,thoroughly understood the Tathagata-garbha, the stage of Buddhahood, the inmost self,found himself abiding in the Buddha-knowledge; [when suddenly] a voice was heardfrom the sky, saying, ""It is to be known by oneself.¡±""Well done, well done, Lord of Lanka! Well done, indeed, Lord of Lanka, for once more!The Yogin is to discipline himself as thou doest. The Tathagatas and all things are to beviewed as they are viewed by thee; otherwise viewed, it is nihilism. All things are to be"
1,6,"comprehended by transcending the Citta, Manas, and Vijnana as is done by thee. Thoushouldst look inwardly and not become attached to the letter and a superficial view ofthings; thou shouldst not fall into the attainments, conceptions, experiences, views, andSamadhis of the Sravakas, Pratyekabuddhas, and philosophers; thou shouldst not haveany liking for small talk and witticism; thou shouldst not cherish the notion of selfsubstance, nor have any thought for the vainglory of rulership, nor dwell on suchDhyanas as belong to the six Dhyanas, etc.""Lord of Lanka, this is the realization of the great Yogins: to destroy the discoursesadvanced by others, to crush mischievous views in pieces, to keep themselves properlyaway from ego-centered notions, to cause a revulsion in the depths of the mind fittinglyby means of an exquisite knowledge. Such are sons of the Buddha who walk in the wayof the Mahayana. In order to enter upon the stage of self-realisation as attained by theTathagatas, the discipline is to be pursued by thee.""Lord of Lanka, conducting thyself in this manner, let thee be further purified in the waythou hast attained; by disciplining thyself well in Samadhi and Samapatti, follow not thestate realised and enjoyed by the Sravakas, Pratyekabuddhas, and philosophers, whichrises from the imagination of those who discipline themselves according to the practicesof the puerile philosophers. They cling to the individual forms of the world created bytheir egotistical ideas; they maintain such notions as element, quality, and substance; theycling tenaciously to views originating from ignorance; they become confused bycherishing the idea of birth where prevails emptiness; they cling to discrimination [asreal]; they fall into the way of thinking where obtains [the dualism of] qualifying andqualified.""Lord of Lanka, this is what leads to various excellent attainments, this is what makesone grow aware of the inmost attainment, this is the Mahayana realisation. This willresult in the acquirement of an excellent condition of existence.""Lord of Lanka, by entering upon the Mahayana discipline the veils [of ignorance] aredestroyed, and one turns away from the multitudinous waves of the Vijnana and falls notinto the refuge and practice of the philosophers.""Lord of Lanka, the philosophers' practice starts from their own egotistic attachments.Their ugly practice arises from adhering to dualistic views concerning the self-nature ofthe Vijnana.""Well done, Lord of Lanka; reflect on the signification of this as you did when seeing theTathagata before; for this, indeed, is seeing the Tathagata.""At that time it occurred to Ravana: ""I wish to see the Bhagavan again, who has all thedisciplinary practices at his command, who has turned away from the practices of thephilosophers, who is born of the state of realizations in the inmost consciousness, andwho is beyond [the dualism of] the transformed and the transforming. He is theknowledge realized by the Yogins, he is the realization attained by those who enjoy the"
1,7,"perfect bliss of the Samadhi which they gain by coming to an intuitive understandingthrough meditation. May I see thus [again] the Compassionate One by means of hismiraculous powers in whom the fuel of passion and discrimination is destroyed, who issurrounded by sons of the Buddha, who has penetrated into the minds and thoughts of allbeings, who moves about everywhere, who knows everything, who keeps himself awayfrom work (kriya) and form (lakshana); seeing him may I attain what I have not yetattained, [retain] what I have already gained, may I conduct myself with nondiscrimination, abide in the joy of Samadhi and Samapatti, and attain the ground wherethe Tathagatas walk, and in these make progress.""At that moment, the Bhagavan recognizing that the Lord of Lanka is to attain theAnutpattika-dharma-kshanti (Uncreated-Dharma-Forbearance) showed his gloriouscompassion for the ten-headed one by making himself visible once more on themountain-peak studded with many jewels and enveloped in a net-work of jewels. Theten-headed King of Lanka saw the splendour again as seen before on the mountain-peak,[he saw] the Tathagata, who was the Arhat and the Fully-Enlightened One, with thethirty-two marks of excellence beautifully adorning his person, and also saw himself oneach mountain-peak, together with Mahamati, in front of the Tathagata, the FullyEnlightened One, putting forward his discourse on the realization experienced by theTathagata in his inmost self, and, surrounded by the Yakshas, conversing on the verbalteachings and stories [of the Buddha]. Those [Buddha]-lands were seen with theLeaders.1Then the Bhagavan beholding again this great assembly with his wisdom-eye, which isnot the human eye, laughed loudly and most vigorously like the lion-king. Emitting raysof light from the tuft of hair between the eyebrows, from the ribs, from the loins, from theSrivatsa on the breast, and from every pore of the skin, ¡ªemitting rays of light whichshone flaming like the fire taking place at the end of a kalpa, like a luminous rainbow,like the rising sun, blazing brilliantly, gloriously -- which were observed from the sky bySakra, Brahma, and the guardians of the world, the one who sat on the peak [of Lanka]vying with Mount Sumeru laughed the loudest laugh. At that time the assembly of theBodhisattvas together with Sakra and Brahma, each thought within himself:""For what reason, I wonder, from what cause does the Blessed One who is the master ofall the world (sarva-dharma-vasavartin), after smiling first, laugh the loudest laugh? Whydoes he emit rays of light from his own body? Why, emitting [rays of light], does heremain silent, with the realizations [of the Truth] in his inmost self, and absorbed deeplyand showing no surprise in the bliss of Samadhi, and reviewing the [ten] quarters, lookingaround like the lion-king, and thinking only of the discipline, attainment, andperformance of Ravana?""At that time, Mahamati the Bodhisattva-Mahasattva who was previously requested byRavana [to ask the Buddha concerning his self-realizations], feeling pity on him, andknowing the minds and thoughts of the assembly of the Bodhisattvas, and observing thatbeings to be born in the future would be confused in their minds because of their delightin the verbal teaching (desanapatha), because of their clinging to the letter as [fully in"
1,8,"accordance with] the spirit (artha), because of their clinging to the disciplinary powers ofthe Sravakas, Pratyekabuddhas, and philosophers, -- which might lead them to think howit were that the Tathagatas, the Bhagavans, even in their transcendental state ofconsciousness should burst out into loudest laughter -- Mahamati the Bodhisattva askedthe Buddha in order to put a stop to their inquisitiveness the following question: ""Forwhat reason, for what cause did this laughter take place?""Said the Bhagavan: ""Well done, well done, Mahamati! Well done, indeed, for once more,Mahamati! Viewing the world as it is in itself and wishing to enlighten the people in theworld who are fallen into a wrong view of things in the past, present, and future, thouundertakest to ask me the question. Thus should it be with the wise men who want to askquestions for both themselves and others. Ravana, Lord of Lanka, O Mahamati, asked atwofold question of the Tathagatas of the past who are Arhats and perfect Buddhas; andhe wishes now to ask me too a twofold question in order to have its distinction,attainment, and scope ascertained -- this is what is never tasted by those who practice themeditation of the Sravakas, Pratyekabuddhas, and philosophers; and the same will beasked by the question-loving ten-headed one of the Buddhas to come.""Knowing that, the Bhagavan said to the Lord of Lanka, thus: ""Ask, thou Lord of Lanka;the Tathagata has given thee permission [to ask], delay not, whatever questions thoudesirest to have answered, I will answer each of them with judgment to the satisfaction ofyour heart. Keeping thy seat of thought free from [false] discrimination, observe wellwhat is to be subdued at each stage; ponder things with wisdom; [seeing into] the natureof the inner principle in thyself, abide in the bliss of Samadhi; embraced by the Buddhasin Samadhi, abide in the bliss of tranquillization; going beyond the Samadhi andunderstanding attained by the Sravakas and Pratyekabuddhas, abide in [the attainment ofthe Bodhisattvas] in the stages of Acala, Sadhumati, and Dharmamegha; grasp well theegolessness of all things in its true significance; be anointed by the Buddhas in Samadhiat the great palace of lotus-jewels. 1Surrounded by the Bodhisattvas who are sitting onlotuses of various sorts each supported by the gracious power of the Buddhas, thou shaltfind thyself sitting on a lotus and each one of the Bodhisattvas looking at thee face toface. This is a realm beyond the imagination. Thou shouldst plan out an adequate planand establish thyself at a stage of discipline by planning out such a plan as shall include[all kinds of] skilful means, so that thou comest to realize that realm which is beyondimagination; and thou shouldst attain the stage of Tathagatahood in which one is able tomanifest oneself in various forms, and which is something never seen before by theSravakas, Pratyekabuddhas, philosophers, Brahma, Indra, Upendra, and others.""At that moment the Lord of Lanka being permitted by the Bhagavan, rose from his seaton the peak of the jewel-mountain which shone like the jewel-lotus immaculate andshining in splendour; he was surrounded by a large company of celestial maidens, and allkinds of garlands, flowers, perfumes, incense, unguents, umbrellas, banners, fiags,necklaces, half-necklaces, diadems, tiaras, and other ornaments whose splendour andexcellence were never heard of or seen before, were created; music was playedsurpassing anything that could be had by the gods, Nagas, Yakshas, Rakshasas,Gandharvas, Kinnaras, Mahoragas, and men; musical instruments were created equal to"
1,9,"anything that could be had in all the world of desire and also such superior musicalinstruments were created as were to be seen in the Buddha-lands; the Bhagavan and theBodhisattvas were enveloped in a net of jewels; a variety of dresses and high banners wasmade rising high in the air as high as seven tala trees to great [the Buddha], showeringgreat clouds of offerings, playing music which resounded [all around], and thendescending from the air, [the Lord of Lanka] sat down on the peak of the jewel-mountainornamented with magnificent jewel-lotus whose splendour was second only to the sunand lightning. Sitting he made courtesy smiling first to the Bhagavan for his permissionand proposed him a twofold question: "" It was asked of the Tathagatas of the past, whowere Arhats, Fully-Enlightened Ones, and it was solved by them. Bhagavan, now I ask ofthee; [the request] will certainly be complied with by thee as far as verbal instruction isconcerned1 as it was by the Buddhas [of the past]. Bhagavan, duality was discoursedupon by the Transformed Tathagatas and Tathagatas of Trans-formation, but not by theTathagatas of Silence.2 The Tathagatas of Silence are absorbed in the blissful state ofSamadhi, they do not discriminate concerning this state, nor do they discourse on it.Bhagavan, thou assuredly wilt discourse on this subject of duality. Thou art thyself amaster of all things, an Arhat, a Tathagata. The sons of the Buddha and myself areanxious to listen to it.""The Bhagavan said, ""Lord of Lanka, tell me what you mean by duality?""The Lord of the Rakshasas, who was renewed in his ornaments, full of splendour andbeauty, with a diadem, bracelet, and necklace strung with vajra thread, said, ""It is saidthat even dharmas are to be abandoned, and how much more adharmas. Bhagavan, whydoes this dualism exist that we are called upon to abandon? What are adharmas (nondharma)? and what are dharmas? How can there be a duality of things to abandon -- aduality that arises from falling into discrimination, from discriminating self-substancewhere there is none, from [the idea of] things created (bhautika) and uncreated, becausethe non-differentiating nature of the alayavijnana is not recognized? Like the seeing of ahair-circle as really existing in the air, [the notion of dualism] belongs to the realm ofintellection not exhaustively pur-gated. This being the. case as it should be, how couldthere be any abandonment [of dharmas and adharmas]?""Said the Bhagavan, ""Lord of Lanka, seest thou not that the differentiation of things, suchas is perceived in jars and other breakable objects whose nature it is to perish in time,takes place in a realm of discrimination [cherished by] the ignorant? This being so, is itnot to be so understood? It is due to discrimination [cherished by] the ignorant that thereexists the differentiation of dharma and adharma. Noble wisdom (aryajnana), however, isnot to be realised by seeing [things this way]. Lord of Lanka, let it be so with the ignorantwho follow the particularised aspect of existence that there are such objects as jars, etc.,but it is not so with the wise. One flame of uniform nature rises up depending on houses,mansions, parks, and terraces, and burns them down; while a difference in the flames isseen according to the power of each burning material which varies in length, magnitude,etc. This being so, why is it not to be so understood? The duality of dharma and adharmathus comes into existence. Not only is there seen a fire-flame spreading out in onecontinuity and yet showing a variety of flames, but from one seed, Lord of Lanka, are"
1,10,"produced, also in one continuity, stems, shoots, knots, leaves, petals, flowers, fruit,branches, all individualized. As it is with every external object from which grows [avariety of] objects, so also with internal objects. From ignorance there develop theSkandhas, Dhatus, ayatanas, with all kinds of objects accompanying, which grow out inthe triple world where we have, as we see, happiness, form, speech, and behaviour, eachdifferentiating [infinitely]. The oneness of the Vijnana is grasped variously according tothe evolution of an objective world; thus there are seen things inferior, superior, andmiddling, things defiled and free from defilement, things good and bad. Not only, Lord ofLanka, is there such a difference of conditions in things generally, there is also seen avariety of realisations attained innerly by each Yogin as he treads the path of disciplinewhich constitutes his practice. How much more difference in dharma and adharma do wenot see in a world of particulars which is evolved by discrimination? Indeed, we do.""Lord of Lanka, the differentiation of dharma and adharma comes from discrimination.Lord of Lanka, what are dharmas? That is, they are discriminated by the discriminationscherished by the philosophers, Sravakas, Pratyekabuddhas, and ignorant people. Theythink that the dharmas headed by quality and substance are produced by causes¡ª[theseare the notions] to be abandoned. Such are not to be regarded [as real] because they areappearances (lakshana). It comes from one's clinging [to appearances] that themanifestations of his own Mind are regarded as reality (dharmata). Such things as jars,etc., are products of discrimination conceived by the ignorant, they exist not; theirsubstances are not attainable. The viewing of things from this viewpoint is known as theirabandonment.""What, then, are adharmas? Lord of Lanka, [dharmas] are unattainable as to theirselfhood, they are not appearances born of discrimination, they are above causality; thereis in them no such [dualistic] happening as is seen as reality and non-reality. This isknown as the abandoning of dharmas. What again is meant by the unattainability ofdharmas? That is, it is like horns of a hare, or an ass, or a camel, or a horse, or a childconceived by a barren woman. They are dharmas the nature of which is unattainable; theyare not to be thought [as real] because they are appearances. They are only talked Aboutin popular parlance if they have any sense at all; they are not to be adhered to as in thecase of jars, etc. As these [unrealities] are to be abandoned as not comprehensible by themind (vijnana), so are things (bhava) of discrimination also to be abandoned. This iscalled the abandoning of dharmas and adharmas. Lord of Lanka, your question as to theway of abandoning dharmas and adharmas is hereby answered.""Lord of Lanka, thou sayest again that thou hast asked [this question] of the Tathagatas ofthe past who were Arhats and Fully-Enlightened Ones and that it was solved by them.Lord of Lanka, that which is spoken of as the past belongs to discrimination; as the past isthus a discriminated [idea], even so are the [ideas] of the future and the present. Becauseof reality (dharmata) the Tathagatas do not discriminate, they go beyond discriminationand futile reasoning, they do not follow the individuation-aspect of forms (r¨±pa) exceptwhen [reality] is disclosed for the edification of the unknowing and for the sake of theirhappiness.1 It is by transcendental wisdom (prajna) that the Tathagata performs deedstranscending forms (animittacara); therefore, what constitutes the Tathagatas in essence"
