Chapter,Section,VerseRange,Text
1,1,1-2,"Verily the dawn is the head of the horse which is fit for sacrifice, the sun its eye, the wind its breath, the mouth the Vaisvanara fire, the year the body of the sacrificial horse. Heaven is the back, the sky the belly, the earth the chest, the quarters the two sides, the intermediate quarters the ribs, the members the seasons, the joints the months and half-months, the feet days and nights, the bones the stars, the flesh the clouds. The half-digested food is the sand, the rivers the bowels, the liver and the lungs the mountains, the hairs the herbs and trees. As the sun rises, it is the forepart, as it sets, the hindpart of the horse. When the horse shakes itself, then it lightens; when it kicks, it thunders; when it makes water, it rains; voice is its voice. Verily Day arose after the horse as the (golden) vessel, called Mahiman (greatness), which (at the sacrifice) is placed before the horse. Its place is in the Eastern sea. The Night arose after the horse as the (silver) vessel, called Mahiman, which (at the sacrifice) is placed behind the horse. Its place is in the Western sea. Verily, these two vessels (or greatnesses) arose to be on each side of the horse. As a racer he carried the Devas, as a stallion the Gandharvas, as a runner the Asuras, as a horse men. The sea is its kin, the sea is its birthplace."
1,2,1-3,"In the beginning there was nothing (to be perceived) here whatsoever. By Death indeed all this was concealed, by hunger; for death is hunger. Death (the first being) thought, `Let me have a body.' Then he moved about, worshipping. From him thus worshipping water was produced. And he said: `Verily, there appeared to me, while I worshipped (arkate), water (ka).' This is why water is called ar-ka. Surely there is water (or pleasure) for him who thus knows the reason why water is called arka. Verily water is arka. And what was there as the froth of the water, that was hardened, and became the earth. On that earth he (Death) rested, and from him, thus resting and heated, Agni (Virag) proceeded, full of light. That being divided itself threefold, Aditya (the sun)"
1,2,2-4,"Verily water is arka. And what was there as the froth of the water, that was hardened, and became the earth. On that earth he (Death) rested, and from him, thus resting and heated, Agni (Virag) proceeded, full of light. That being divided itself threefold, Aditya (the sun) as the third, and Vayu (the air) as the third. That spirit (prana) became threefold. The head was the Eastern quarter, and the arms this and that quarter (i.e. the N.E. and S.E., on the left and right sides). Then the tail was the Western quarter, and the two legs this and that quarter (i.e. the N.W. and S.W.). The sides were the Southern and Northern quarters, the back heaven, the belly the sky, the dust the earth. Thus he (Mrityu, as arka) stands firm in the water, and he who knows this stands firm wherever he goes. He desired, `Let a second body be born of me,'"
1,2,3-5,"That being divided itself threefold, Aditya (the sun) as the third, and Vayu (the air) as the third. That spirit (prana) became threefold. The head was the Eastern quarter, and the arms this and that quarter (i.e. the N.E. and S.E., on the left and right sides). Then the tail was the Western quarter, and the two legs this and that quarter (i.e. the N.W. and S.W.). The sides were the Southern and Northern quarters, the back heaven, the belly the sky, the dust the earth. Thus he (Mrityu, as arka) stands firm in the water, and he who knows this stands firm wherever he goes. He desired, `Let a second body be born of me,' and he (Death or Hunger) embraced Speech in his mind. Then the seed became the year. Before that time there was no year. Speech bore him so long as a year, and after that time sent him forth. Then when he was born, he (Death) opened his mouth, as if to swallow him. He cried Bhan! and that became speech. He thought, `If I kill him, I shall have but little food.'"
1,2,4-6,"He desired, `Let a second body be born of me,' and he (Death or Hunger) embraced Speech in his mind. Then the seed became the year. Before that time there was no year. Speech bore him so long as a year, and after that time sent him forth. Then when he was born, he (Death) opened his mouth, as if to swallow him. He cried Bhan! and that became speech. He thought, `If I kill him, I shall have but little food.' He therefore brought forth by that speech and by that body (the year) all whatsoever exists, the Rik, the Yagus, the Saman, the metres, the sacrifices, men, and animals. And whatever he (Death) brought forth, that he resolved to eat (ad). Verily because he eats everything, therefore is Aditi (Death) called Aditi. He who thus knows why Aditi is called Aditi, becomes an eater of everything, and everything becomes his food. He desired to sacrifice again with a greater"
1,2,5-7,"He thought, `If I kill him, I shall have but little food.' He therefore brought forth by that speech and by that body (the year) all whatsoever exists, the Rik, the Yagus, the Saman, the metres, the sacrifices, men, and animals. And whatever he (Death) brought forth, that he resolved to eat (ad). Verily because he eats everything, therefore is Aditi (Death) called Aditi. He who thus knows why Aditi is called Aditi, becomes an eater of everything, and everything becomes his food. He desired to sacrifice again with a greater sacrifice. He toiled and performed penance. And while he toiled and performed penance, glorious power went out of him. Verily glorious power means the senses (prana). Then when the senses had gone out, the body took to swelling (sva-yitum), and mind was in the body. He desired that this body should be fit for sacrifice"
1,2,6-7,"He desired to sacrifice again with a greater sacrifice. He toiled and performed penance. And while he toiled and performed penance, glorious power went out of him. Verily glorious power means the senses (prana). Then when the senses had gone out, the body took to swelling (sva-yitum), and mind was in the body. He desired that this body should be fit for sacrifice (medhya), and that he should be embodied by it. Then he became a horse (asva), because it swelled (asvat), and was fit for sacrifice (medhya); and this is why the horse-sacrifice is called Asva-medha. Verily he who knows him thus, knows the Asvamedha. Then, letting the horse free, he thought, and at the end of a year he offered it up for himself, while he gave up the (other) animals to the deities. Therefore the sacrificers offered up the purified horse belonging to Pragapati, (as dedicated) to all the deities. Verily the shining sun is the Asvamedha-sacrifice, and his body is the year; Agni is the sacrificial fire (arka), and these worlds are his bodies. These two are the sacrificial fire and the Asvamedha-sacrifice, and they are again one deity, viz. Death. He (who knows this) overcomes another death, death does not reach him, death is his Self, he becomes one of those deities."
1,3,1-3,"There were two kinds of descendants of Pragapati, the Devas and the Asuras. Now the Devas were indeed the younger, the Asuras the elder ones. The Devas, who were struggling in these worlds, said: `Well, let us overcome the Asuras at the sacrifices (the Gyotishtoma) by means of the udgitha.' They said to speech (Vak): `Do thou sing out for us (the udgitha).' `Yes,' said speech, and sang (the udgitha). Whatever delight there is in speech, that she obtained for the Devas by singing (the three pavamanas); but that she pronounced well (in the other nine pavamanas), that was for herself. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at the singer and pierced her with evil. That evil which consists in saying what is bad, that is that evil. Then they (the Devas) said to breath (scent): `Do"
1,3,2-4,"They said to speech (Vak): `Do thou sing out for us (the udgitha).' `Yes,' said speech, and sang (the udgitha). Whatever delight there is in speech, that she obtained for the Devas by singing (the three pavamanas); but that she pronounced well (in the other nine pavamanas), that was for herself. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at the singer and pierced her with evil. That evil which consists in saying what is bad, that is that evil. Then they (the Devas) said to breath (scent): `Do thou sing out for us.' `Yes,' said breath, and sang. Whatever delight there is in breath (smell), that he obtained for the Devas by singing; but that he smelled well, that was for himself. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at the singer, and pierced him with evil. That evil which consists in smelling what is bad, that is that evil. Then they said to the eye: `Do thou sing out for"
1,3,3-5,"Then they (the Devas) said to breath (scent): `Do thou sing out for us.' `Yes,' said breath, and sang. Whatever delight there is in breath (smell), that he obtained for the Devas by singing; but that he smelled well, that was for himself. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at the singer, and pierced him with evil. That evil which consists in smelling what is bad, that is that evil. Then they said to the eye: `Do thou sing out for us.' `Yes,' said the eye, and sang. Whatever delight there is in the eye, that he obtained for the Devas by singing; but that he saw well, that was for himself. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at the singer, and pierced him with evil. That evil which consists in seeing what is bad, that is that evil. Then they said to the ear: `Do thou sing out for us.'"
