Chapter,Section/Valli,Verse,Text
1,1,1,"Vagasravasa, desirous (of heavenly rewards), surrendered (at a sacrifice) all that he possessed. He had a son of the name of Nakiketas."
1,1,2,"When the (promised) presents were being given (to the priests), faith entered into the heart of Nakiketas, who was still a boy, and he thought:"
1,1,3,"`Unblessed, surely, are the worlds to which a man goes by giving (as his promised present at a sacrifice) cows which have drunk water, eaten hay, given their milk, and are barren.'"
1,1,4,"He (knowing that his father had promised to give up all that he possessed, and therefore his son also) said to his father: `Dear father, to whom wilt thou give me?' He said it a second and a third time. Then the father replied (angrily): `I shall give thee unto Death.' (The father, having once said so, though in haste, had to be true to his word and to sacrifice his son.)"
1,1,5,"The son said: `I go as the first, at the head of many (who have still to die); I go in the midst of many (who are now dying). What will be the work of Yama (the ruler of the departed) which to-day he has to do unto me?"
1,1,6,"`Look back how it was with those who came before, look forward how it will be with those who come hereafter. A mortal ripens like corn, like corn he springs up again.' (Nakiketas enters into the abode of Yama Vaivasvata, and there is no one to receive him. Thereupon one of the attendants of Yama is supposed to say:) enters as a guest. That fire is quenched by this peace-offering; bring water, O Vaivasvata! man without receiving food to eat, destroys his hopes and expectations, his possessions, his righteousness, his sacred and his good deeds, and all his sons and cattle.' (Yama, returning to his house after an absence of three nights, during which time Nakiketas had received no hospitality from him, says:) dwelt in my house three nights without eating, therefore choose now three boons. Hail to thee! and welfare to me!'"
1,1,10,"Nakiketas said: `O Death, as the first of the three boons I choose that Gautama, my father, be pacified, kind, and free from anger towards me; and that he may know me and greet me, when I shall have been dismissed by thee.'"
1,1,11,"Yama said: `Through my favour Auddalaki Aruni, thy father, will know thee, and be again towards thee as he was before. He shall sleep peacefully through the night, and free from anger, after having seen thee freed from the mouth of death.'"
1,1,12,"Nakiketas said: `In the heaven-world there is no fear; thou art not there, O Death, and no one is afraid on account of old age. Leaving behind both hunger and thirst, and out of the reach of sorrow, all rejoice in the world of heaven.'"
1,1,13,"`Thou knowest, O Death, the fire-sacrifice which leads us to heaven; tell it to me, for I am full of faith. Those who live in the heaven-world reach immortality, this I ask as my second boon.'"
1,1,14,"Yama said: `I tell it thee, learn it from me, and when thou understandest that fire-sacrifice which leads to heaven, know, O Nakiketas, that it is the attainment of the endless worlds, and their firm support, hidden in darkness.'salvation"
1,1,15,"Yama then told him that fire-sacrifice, the beginning of all the worlds, and what bricks are required for the altar, and how many, and how they are to be placed. And Nakiketas repeated all as it had been told to him. Then Mrityu, being pleased with him, said again:"
1,1,16,"The generous, being satisfied, said to him: `I give thee now another boon; that fire-sacrifice shall be named after thee, take also this many-coloured chain.'"
1,1,17,"`He who has three times performed this Nakiketa rite, and has been united with the three (father, mother, and teacher), and has performed the three duties (study, sacrifice, almsgiving) overcomes birth and death. When he has learnt and understood this fire, which knows (or makes us know) all that is born of Brahman, which is venerable and divine, then he obtains everlasting peace.'"
1,1,18,"`He who knows the three Nakiketa fires, and knowing the three, piles up the Nakiketa sacrifice, he, having first thrown off the chains of death, rejoices in the world of heaven, beyond the reach of grief.'"
1,1,19,"`This, O Nakiketas, is thy fire which leads to heaven, and which thou hast chosen as thy second boon. That fire all men will proclaim. Choose now, O Nakiketas, thy third boon.'"
