Chapter/Adhyaya,VerseRange,Text
1,1-3," The Brahma-students say: Is Brahman the cause? Whence are we born? Whereby do we live, and whither do we go? O ye who know Brahman, (tell us) at whose command we abide, whether in pain or in pleasure?  Should time, or nature, or necessity, or chance, or the elements be considered as the cause, or he who is called the person (purusha, vignanatma)? It cannot be their union either, because that is not selfdependent, and the self also is powerless, because there is (independent of him) a cause of good and evil.  The sages, devoted to meditation and concentration,"
1,2-4," Should time, or nature, or necessity, or chance, or the elements be considered as the cause, or he who is called the person (purusha, vignanatma)? It cannot be their union either, because that is not selfdependent, and the self also is powerless, because there is (independent of him) a cause of good and evil.  The sages, devoted to meditation and concentration, have seen the power belonging to God himself, hidden in its own qualities (guna). He, being one, superintends all those causes, time, self, and the rest.  We meditate on him who (like a wheel) has one felly"
1,3-5," The sages, devoted to meditation and concentration, have seen the power belonging to God himself, hidden in its own qualities (guna). He, being one, superintends all those causes, time, self, and the rest.  We meditate on him who (like a wheel) has one felly with three tires, sixteen ends, fifty spokes, with twenty counter-spokes, and six sets of eight; whose one rope is manifold, who proceeds on three different roads, and whose illusion arises from two causes.  We meditate on the river whose water consists of the"
1,4-6," We meditate on him who (like a wheel) has one felly with three tires, sixteen ends, fifty spokes, with twenty counter-spokes, and six sets of eight; whose one rope is manifold, who proceeds on three different roads, and whose illusion arises from two causes.  We meditate on the river whose water consists of the five streams, which is wild and winding with its five springs, whose waves are the five vital breaths, whose fountain head is the mind, the course of the five kinds of perceptions. It has five whirlpools, its rapids are the five pains; it has fifty kinds of suffering, and five branches.  In that vast Brahma-wheel, in which all things live"
1,5-7," We meditate on the river whose water consists of the five streams, which is wild and winding with its five springs, whose waves are the five vital breaths, whose fountain head is the mind, the course of the five kinds of perceptions. It has five whirlpools, its rapids are the five pains; it has fifty kinds of suffering, and five branches.  In that vast Brahma-wheel, in which all things live and rest, the bird flutters about, so long as he thinks that the self (in him) is different from the mover (the god, the lord). When he has been blessed by him, then he gains immortality.  But what is praised (in the Upanishads) is the"
1,6-8," In that vast Brahma-wheel, in which all things live and rest, the bird flutters about, so long as he thinks that the self (in him) is different from the mover (the god, the lord). When he has been blessed by him, then he gains immortality.  But what is praised (in the Upanishads) is the Highest Brahman, and in it there is the triad. The Highest Brahman is the safe support, it is imperishable. The Brahma-students, when they have known what is within this (world), are devoted and merged in the Brahman, free from birth.  The Lord (isa) supports all this together, the"
1,7-9," But what is praised (in the Upanishads) is the Highest Brahman, and in it there is the triad. The Highest Brahman is the safe support, it is imperishable. The Brahma-students, when they have known what is within this (world), are devoted and merged in the Brahman, free from birth.  The Lord (isa) supports all this together, the perishable and the imperishable, the developed and the undeveloped. The (living) self, not being a lord, is bound, because he has to enjoy (the fruits of works); but when he has known the god (deva), he is freed from all fetters.  There are two, one knowing (isvara), the other notknowing (giva), both unborn, one strong, the"
1,8-10," The Lord (isa) supports all this together, the perishable and the imperishable, the developed and the undeveloped. The (living) self, not being a lord, is bound, because he has to enjoy (the fruits of works); but when he has known the god (deva), he is freed from all fetters.  There are two, one knowing (isvara), the other notknowing (giva), both unborn, one strong, the other weak; there is she, the unborn, through whom each man receives the recompense of his works; and there is the infinite Self (appearing) under all forms, but himself inactive. When a man finds out these three, that is Brahma.  That which is perishable is the Pradhana (the first),"
1,9-11," There are two, one knowing (isvara), the other notknowing (giva), both unborn, one strong, the other weak; there is she, the unborn, through whom each man receives the recompense of his works; and there is the infinite Self (appearing) under all forms, but himself inactive. When a man finds out these three, that is Brahma.  That which is perishable is the Pradhana (the first), the immortal and imperishable is Hara. The one god rules the perishable (the pradhana) and the (living) self. From meditating on him, from joining him, from becoming one with him there is further cessation of all illusion in the end.  When that god is known, all fetters fall off,"
1,10-12," That which is perishable is the Pradhana (the first), the immortal and imperishable is Hara. The one god rules the perishable (the pradhana) and the (living) self. From meditating on him, from joining him, from becoming one with him there is further cessation of all illusion in the end.  When that god is known, all fetters fall off, sufferings are destroyed, and birth and death cease. From meditating on him there arises, on the dissolution of the body, the third state, that of universal lordship; but he only who is alone, is satisfied.  This, which rests eternally within the self, should be"
